"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-11",55.540001,56.25,55.040001,55.110001,2019400,55.110001
"2016-07-08",55.700001,55.990002,54.68,55.169998,2589500,55.169998
"2016-07-07",55.970001,56.669998,54.450001,54.900002,2295400,54.900002
"2016-07-06",54.389999,55.470001,54.18,55.299999,2408200,55.299999
"2016-07-05",55.41,56.130001,53.720001,54.669998,2344500,54.669998
"2016-07-01",55.759998,57.380001,55.400002,56.669998,2570200,56.669998
"2016-06-30",55.82,56.080002,55.09,55.669998,3033800,55.669998
"2016-06-29",54.759998,56.23,54.599998,55.810001,2695000,55.810001
"2016-06-27",53.880001,54.16,51.380001,52,4043300,52
"2016-06-24",55.5,56.919998,54.799999,54.860001,5833400,54.860001
"2016-06-23",57.139999,58.18,56.540001,58.16,3868900,58.16
"2016-06-22",56.619999,56.849998,55.75,56.43,2796600,56.43
"2016-06-21",54.82,57,54.27,56.630001,2876700,56.630001
"2016-06-20",54.990002,55.619999,54.450001,55.32,2223900,55.32
"2016-06-17",53.77,54.470001,53.540001,53.869999,3127500,53.869999
"2016-06-16",53.619999,53.619999,51.91,53,3011700,53
"2016-06-15",54.310001,55.41,53.77,54.529999,2548700,54.529999
"2016-06-14",53.689999,55.369999,53.470001,54.759998,3328500,54.759998
"2016-06-13",53.029999,54.549999,52.529999,53.84,3025600,53.84
"2016-06-10",55.16,55.59,53.029999,53.52,3196800,53.52
"2016-06-09",56.220001,56.959999,55.650002,55.830002,3038200,55.830002
"2016-06-08",59,59.02,56.689999,57,3051900,57
"2016-06-07",56.220001,58.439999,56.130001,58.209999,4051900,58.209999
"2016-06-06",55.470001,55.84,54.869999,55.619999,2443200,55.619999
"2016-06-03",55.919998,56.34,54.169998,54.580002,2847800,54.580002
"2016-06-02",55.509998,56.009998,54.860001,55.84,2671900,55.84
"2016-06-01",56.490002,56.860001,55.18,56.169998,3801600,56.169998
"2016-05-31",58.259998,59.25,57.029999,57.139999,3923900,57.139999
"2016-05-27",57.66,58.369999,57,58.290001,2511500,58.290001
"2016-05-26",58.490002,58.82,57.450001,58.029999,2382500,58.029999
"2016-05-25",58.810001,59.59,57.860001,57.91,3146400,57.91
"2016-05-24",58.139999,59.130001,57.07,58.25,4384700,58.25
"2016-05-23",56.759998,57.84,56.439999,57.599998,3097200,57.599998
"2016-05-20",57.169998,57.610001,56.27,57.110001,3227800,57.110001
"2016-05-19",55.82,57.209999,54.27,56.98,6348100,56.98
"2016-05-18",57.68,58.209999,55.209999,56.610001,12916000,56.610001
"2016-05-17",54.860001,55.810001,54.119999,55.119999,4060700,55.119999
"2016-05-16",54.380001,55.599998,54.380001,54.799999,4006200,54.799999
"2016-05-13",53.580002,54.490002,52.470001,53.02,2951800,53.02
"2016-05-12",54.970001,55.599998,54.240002,54.299999,5065300,54.299999
"2016-05-11",53.080002,54.82,51.790001,54.009998,5891200,54.009998
"2016-05-10",52.610001,53.34,52.060001,53.09,4839700,53.09
"2016-05-09",53.450001,53.450001,51.689999,52.119999,4517000,52.119999
"2016-05-06",53.950001,55.57,53.59,53.84,6559000,53.84
"2016-05-05",51.91,55,51.52,54.82,6767200,54.82
"2016-05-04",52.25,52.73,50.080002,50.73,4455100,50.73
"2016-05-03",53.049999,53.82,51.41,52.130001,5223300,52.130001
"2016-05-02",54.610001,54.970001,53.169998,54.240002,4646700,54.240002
"2016-04-29",55.889999,56.27,53.290001,54.400002,4696500,54.400002
"2016-04-28",56.880001,57.630001,55.279999,55.43,2905500,55.43
"2016-04-27",56.43,58.060001,56.310001,57.540001,4874200,57.540001
"2016-04-26",54.889999,56.009998,53.93,55.880001,3449700,55.880001
"2016-04-25",55.66,55.98,53.990002,54.41,3504800,54.41
"2016-04-22",55.27,56.66,55.16,56.200001,2865100,56.200001
"2016-04-21",54.939999,55.619999,54.330002,54.779999,3578700,54.779999
"2016-04-20",54.48,55.439999,53.580002,54.68,3667100,54.68
"2016-04-19",53.98,55.5,53.209999,55.02,4722700,54.770002
"2016-04-18",50.27,53.869999,50.07,53.439999,3293800,53.197179
"2016-04-15",52.310001,52.639999,51.540001,52.049999,2999000,51.813495
"2016-04-14",52.84,53.450001,52.349998,52.970001,1954500,52.729317
"2016-04-13",53.099998,53.110001,51.52,52.459999,3769300,52.221632
"2016-04-12",50.59,53.689999,50.139999,53.290001,5145000,53.047863
"2016-04-11",51.18,51.66,49.919998,49.950001,3240300,49.723039
"2016-04-08",50.75,51.639999,50.18,50.66,4125500,50.429812
"2016-04-07",49.209999,50.009998,48.349998,49.189999,2617000,48.96649
"2016-04-06",47.810001,49.900002,47.310001,49.759998,3655000,49.5339
"2016-04-05",46.400002,48.18,46.150002,47.330002,2575400,47.114945
"2016-04-04",47.540001,48.290001,46.619999,46.82,2956500,46.60726
"2016-04-01",47.459999,48.630001,47.09,47.5,5578600,47.28417
"2016-03-31",48.349998,49.18,48.02,48.810001,3922700,48.588219
"2016-03-30",49.25,49.509998,48.07,48.639999,3004400,48.41899
"2016-03-29",47.48,48.630001,47.049999,48.560001,3133300,48.339355
"2016-03-28",48.98,49.080002,47.599998,48.41,3257300,48.190035
"2016-03-24",47.009998,48.860001,46.59,48.849998,4460600,48.628035
"2016-03-23",49.279999,49.73,47.650002,47.860001,5682500,47.642535
"2016-03-22",49.060001,51.32,49.02,50.27,3916500,50.041585
"2016-03-21",49.139999,50.75,48.740002,49.880001,3401800,49.653357
"2016-03-18",51.27,51.810001,48.529999,49.630001,7009600,49.404493
"2016-03-17",49.950001,51.02,49.48,50.470001,4978500,50.240677
"2016-03-16",48.509998,49.98,48.110001,49.25,5663700,49.026219
"2016-03-15",47.029999,48.02,46.830002,47.93,5146800,47.712217
"2016-03-14",47.720001,48.900002,47.43,48.189999,4751900,47.971034
"2016-03-11",47.380001,49.040001,47.369999,48.970001,6188200,48.747492
"2016-03-10",45.900002,46.650002,44.75,46.25,5159900,46.03985
"2016-03-09",47.25,47.689999,45.009998,46.23,6639800,46.019941
"2016-03-08",50.32,50.419998,46.119999,46.169998,8107600,45.960212
"2016-03-07",48.029999,51.110001,47.619999,51.02,10459600,50.788177
"2016-03-04",45.630001,48.939999,45.16,48.040001,8779100,47.821718
"2016-03-03",41.75,45.599998,41.75,45.09,10048500,44.885121
"2016-03-02",38.330002,42.009998,38.16,41.970001,6606500,41.779299
"2016-03-01",38.470001,38.68,36.259998,38.619999,5884700,38.444518
"2016-02-29",39.490002,39.5,37.689999,38.279999,5330300,38.106063
"2016-02-26",39.09,40.48,38.400002,39.470001,5546300,39.290658
"2016-02-25",37.93,38.93,36.09,37.790001,7965100,37.618291
"2016-02-24",36.950001,38.720001,36.209999,38.599998,7818000,38.424609
"2016-02-23",38.889999,39.779999,37.860001,37.880001,5480500,37.707883
"2016-02-22",38.34,39.75,38.34,39.610001,4702700,39.430021
"2016-02-19",37.900002,37.970001,36.27,37.330002,5614400,37.160382
"2016-02-18",40.77,40.889999,37.919998,38.799999,6684200,38.623701
"2016-02-17",38.220001,40.34,37.91,40.060001,5128700,39.877977
"2016-02-16",37.189999,37.880001,36.639999,37.470001,4274300,37.299746
"2016-02-12",34.970001,36.939999,34.66,36.529999,5812300,36.364014
"2016-02-11",34.349998,35.040001,33.23,34.380001,5881100,34.223786
"2016-02-10",35.41,36.330002,35.009998,35.330002,5325100,35.16947
"2016-02-09",36.529999,37.130001,34.290001,35.580002,7548000,35.418334
"2016-02-08",38.200001,38.360001,36.869999,37.580002,6316300,37.409247
"2016-02-05",40.299999,40.310001,38.459999,39.049999,6399300,38.872565
"2016-02-04",42.060001,43.799999,40.490002,40.740002,7533600,40.554888
"2016-02-03",39.73,41.299999,37.759998,41.240002,5386100,41.052616
"2016-02-02",39.5,40.07,38.450001,38.549999,6275000,38.374836
"2016-02-01",41.27,41.75,40.240002,40.82,5037400,40.634523
"2016-01-29",40.98,42.540001,40.919998,42.540001,5464400,42.346708
"2016-01-28",40.759998,40.98,38.98,40.599998,4289500,40.415521
"2016-01-27",37.669998,40.259998,37.400002,38.630001,5722700,38.454475
"2016-01-26",38.349998,38.810001,37.080002,38.029999,7572500,37.857199
"2016-01-25",38.360001,40.639999,37.380001,37.43,5861400,37.259927
"2016-01-22",38.990002,40.060001,37.639999,39.380001,7053600,39.201067
"2016-01-21",34.330002,37.59,34.119999,37.240002,7468000,37.070791
"2016-01-20",33.27,35.349998,32.200001,34.610001,8741800,34.45274
"2016-01-19",35.5,35.689999,33.799999,34.48,8317500,34.074466
"2016-01-15",35.240002,35.91,33.560001,35.330002,10127400,34.914471
"2016-01-14",35.880001,37.639999,35.259998,37.029999,6544400,36.594473
"2016-01-13",35.939999,37.220001,35.360001,35.599998,8597000,35.181292
"2016-01-12",35.549999,35.689999,34.189999,35.419998,9004500,35.003408
"2016-01-11",36.669998,36.860001,34.369999,35.060001,8342700,34.647646
"2016-01-08",36.860001,37.59,35.07,36.650002,10451900,36.218945
"2016-01-07",37.369999,38.630001,36.23,36.549999,7105900,36.120119
"2016-01-06",42.099998,42.119999,38.450001,38.529999,7076700,38.076831
"2016-01-05",43.5,44.029999,42.139999,43.529999,5435300,43.018024
"2016-01-04",44.25,45.110001,43.75,44.43,4746800,43.90744
"2015-12-31",44.5,45.09,44.389999,44.470001,2975600,43.946971
"2015-12-30",44.59,45.639999,44.560001,44.810001,3942600,44.282972
"2015-12-29",45.91,46.34,45.040001,45.450001,2969200,44.915444
"2015-12-28",44.709999,45.299999,44.389999,44.919998,3611300,44.391675
"2015-12-24",46.060001,46.560001,45.16,45.799999,1607600,45.261326
"2015-12-23",43.869999,45.810001,43.52,45.709999,4673000,45.172384
"2015-12-22",42.91,43.540001,42.349998,42.779999,5760900,42.276845
"2015-12-21",42.669998,43.07,41.98,42.529999,4425600,42.029785
"2015-12-18",42.799999,43.799999,42.560001,42.689999,5981100,42.187903
"2015-12-17",44.700001,45.18,42.700001,42.950001,8073500,42.444847
"2015-12-16",44.91,45.439999,44.25,44.799999,5097800,44.273087
"2015-12-15",43.759998,45.369999,43.759998,45.27,5133800,44.737561
"2015-12-14",42.5,44.18,41.599998,43.490002,5468200,42.978497
"2015-12-11",45.25,45.509998,42.68,42.919998,6171300,42.415198
"2015-12-10",44.59,46.540001,44.389999,46.189999,4585800,45.646738
"2015-12-09",45.02,45.990002,44.52,44.950001,4485200,44.421325
"2015-12-08",43.419998,45.32,42.919998,44.869999,5535500,44.342264
"2015-12-07",44.73,45.09,43.599998,44.220001,7114000,43.699911
"2015-12-04",44.959999,46.040001,43.740002,45.790001,4252800,45.251445
"2015-12-03",47.740002,48.099998,45.560001,45.759998,5003100,45.221795
"2015-12-02",48.77,49.279999,47.009998,47.32,3538300,46.763449
"2015-12-01",49.34,49.73,48.630001,49.150002,2597300,48.571927
"2015-11-30",49.759998,49.990002,48.849998,49.18,3373900,48.601573
"2015-11-27",49.700001,50.189999,49.209999,49.419998,1317300,48.838748
"2015-11-25",50.419998,50.939999,49.900002,50.349998,2455800,49.757811
"2015-11-24",49.150002,51.439999,49.080002,50.91,4687400,50.311226
